,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_4LVW_1.pdb,1.746,0.0,0.926,1.0,0.53,0.928,1.885,8.44,0.837,0.904,0.161,0.527,3.269,0.0,0.843,0.506,0.865,1.0,1.0,0.777
normalized_trrosettarna_4LVW_1.pdb,2.049,0.0,0.546,0.711,0.125,0.529,3.753,28.23,0.846,0.84,0.182,1.428,1.951,0.0,0.82,0.382,0.899,1.0,1.0,0.7
normalized_trrosettarna_4LVW_4.pdb,2.134,0.0,0.545,0.705,0.107,0.545,3.92,30.62,0.831,0.838,0.194,1.477,1.844,0.0,0.801,0.326,0.876,1.0,1.0,0.691
normalized_trrosettarna_4LVW_2.pdb,2.283,0.0,0.579,0.798,0.0,0.583,3.941,28.62,0.839,0.85,0.195,1.414,1.93,0.0,0.815,0.382,0.876,1.0,1.0,0.7
normalized_trrosettarna_4LVW_3.pdb,2.456,0.0,0.511,0.698,0.0,0.524,4.808,33.65,0.84,0.831,0.203,1.538,1.519,0.0,0.823,0.405,0.888,1.0,1.0,0.68
normalized_rhofold_4LVW.pdb,7.343,0.0,0.502,0.123,0.0,0.709,14.639,67.71,0.404,0.631,0.745,2.354,0.997,0.0,0.371,0.101,0.169,0.416,0.798,0.0
normalized_trrosettarna_4LVW_5.pdb,10.763,0.0,0.338,0.355,0.0,0.405,31.855,50.27,0.294,0.788,1.219,1.897,0.662,0.0,0.301,0.112,0.258,0.348,0.483,0.539
normalized_simrna_4LVW.pdb,15.355,4.90046891954421e-12,0.543,0.4,0.0,0.646,28.296,23.07,0.214,0.638,1.671,2.097,2.463,0.0,0.185,0.079,0.146,0.225,0.292,0.007
normalized_3drna_4LVW_4.pdb,21.421,0.00029191768503872284,0.488,0.307,0.0,0.593,43.884,29.38,0.241,0.603,2.163,2.113,1.88,0.0,0.211,0.135,0.191,0.225,0.292,0.336
normalized_isrna_4LVW.pdb,24.378,0.036211997251469175,0.517,0.341,,0.618,47.175,19.67,0.234,0.638,2.457,1.922,1.93,0.0,0.197,0.112,0.146,0.213,0.315,0.335
normalized_3drna_4LVW_2.pdb,26.112,0.20241059898231073,0.474,0.391,0.0,0.554,55.071,31.45,0.186,0.591,2.632,2.08,1.74,0.0,0.194,0.124,0.202,0.202,0.247,0.337
normalized_vfold_4LVW.pdb,27.013,0.36969130574368425,0.456,0.335,0.0,0.553,59.285,27.79,0.265,0.61,2.697,2.028,1.639,0.0,0.183,0.112,0.146,0.202,0.27,0.008
normalized_3drna_4LVW_1.pdb,27.812,0.5443260819429162,0.481,0.341,0.0,0.569,57.774,28.02,0.282,0.604,2.792,2.105,1.857,0.0,0.208,0.124,0.18,0.225,0.303,0.36
normalized_rnacomposer_4LVW.pdb,28.42,0.6733779258863588,0.489,0.341,0.0,0.583,58.067,19.92,0.217,0.613,2.847,2.003,1.786,0.0,0.205,0.157,0.18,0.202,0.281,0.384
normalized_3drna_4LVW_5.pdb,28.694,0.7261521546196322,0.498,0.362,0.0,0.588,57.668,23.92,0.216,0.613,2.883,2.002,1.836,0.0,0.23,0.112,0.169,0.27,0.371,0.36
normalized_3drna_4LVW_3.pdb,29.108,0.7971496204997438,0.433,0.327,0.0,0.519,67.173,33.73,0.245,0.574,2.967,2.125,1.44,0.0,0.205,0.101,0.169,0.225,0.326,0.314
normalized_vfoldpipeline_4LVW_3.pdb,29.184,0.808824079275907,0.534,0.307,0.0,0.654,54.662,17.52,0.338,0.627,2.938,2.058,2.686,0.0,0.194,0.124,0.169,0.213,0.27,0.381
normalized_vfoldpipeline_4LVW_1.pdb,29.502,0.8531406858982926,0.538,0.302,0.0,0.663,54.871,17.38,0.339,0.634,2.967,2.05,2.602,0.0,0.194,0.124,0.169,0.213,0.27,0.385
normalized_vfoldpipeline_4LVW_2.pdb,29.528,0.8564348269069068,0.549,0.302,0.0,0.679,53.8,17.21,0.338,0.635,2.972,2.054,2.636,0.0,0.194,0.112,0.169,0.225,0.27,0.387
normalized_rnajp_4LVW.pdb,30.278,0.9307704270798851,0.565,0.335,0.354,0.672,53.613,20.79,0.356,0.637,3.014,1.921,2.665,0.0,0.337,0.157,0.348,0.382,0.461,0.052
