,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_trrosettarna_rp07_2.pdb,6.087,0.0,0.719,0.862,0.224,0.691,8.468,28.31,0.408,0.114,0.189,0.47,0.86,0.0,0.632,0.62,1.208,3.755,0.615,0.797,,,
normalized_trrosettarna_rp07_1.pdb,6.281,0.0,0.718,0.855,0.112,0.697,8.749,28.69,0.404,0.114,0.173,0.46,0.87,0.0,0.631,0.609,1.265,3.768,0.608,0.784,,,
normalized_rhofold_rp07.pdb,6.855,0.0,0.641,0.691,0.0,0.679,10.7,50.85,0.337,0.038,0.13,0.384,0.795,0.0,0.584,0.678,1.461,2.406,0.535,0.725,,,
normalized_trrosettarna_rp07_3.pdb,10.291,0.0,0.569,0.663,0.077,0.596,18.1,36.09,0.358,0.103,0.173,0.438,0.719,0.0,0.529,1.089,1.582,2.675,0.553,0.762,,,
normalized_trrosettarna_rp07_4.pdb,15.094,0.0,0.543,0.629,0.0,0.577,27.819,36.12,0.319,0.114,0.178,0.346,0.638,0.0,0.46,1.511,1.56,2.434,0.546,0.753,,,
normalized_trrosettarna_rp07_5.pdb,17.166,0.0,0.489,0.55,0.0,0.546,35.115,44.28,0.247,0.065,0.13,0.303,0.492,0.0,0.353,1.794,1.718,1.901,0.509,0.737,,,
normalized_3drna_rp07.pdb,20.997,0.0,0.748,0.853,0.141,0.733,28.067,24.2,0.22,0.178,0.2,0.238,0.265,0.0,0.266,2.16,1.35,4.571,0.558,0.764,,,
normalized_3drna_rp07_2.pdb,23.518,0.0,0.682,0.839,0.191,0.651,34.485,25.96,0.235,0.135,0.189,0.243,0.373,0.0,0.314,2.418,1.517,4.005,0.521,0.732,,,
normalized_3drna_rp07_5.pdb,24.624,0.0,0.693,0.853,0.211,0.66,35.519,26.16,0.219,0.146,0.189,0.232,0.308,0.0,0.306,2.523,1.518,3.908,0.501,0.724,,,
normalized_3drna_rp07_4.pdb,24.783,0.0,0.693,0.831,0.211,0.666,35.778,26.44,0.266,0.141,0.238,0.319,0.368,0.0,0.38,2.556,1.523,4.113,0.537,0.725,,,
