,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_7ELQ_2.pdb,1.565,0.0,0.86,0.875,0.707,0.87,1.82,13.71,0.556,0.052,0.162,0.533,1.384,0.0,0.494,0.222,0.356,0.444,0.956,0.857
normalized_alphafold3_7ELQ_5.pdb,1.586,0.0,0.877,0.91,0.707,0.881,1.808,13.69,0.563,0.051,0.165,0.539,1.377,0.0,0.494,0.222,0.356,0.444,0.956,0.825
normalized_alphafold3_7ELQ_4.pdb,1.626,0.0,0.867,0.875,0.707,0.881,1.875,13.77,0.549,0.052,0.171,0.539,1.379,0.0,0.494,0.222,0.356,0.444,0.956,0.853
normalized_alphafold3_7ELQ_1.pdb,1.657,0.0,0.877,0.91,0.707,0.881,1.889,13.94,0.537,0.052,0.172,0.558,1.371,0.0,0.489,0.2,0.356,0.444,0.956,0.849
normalized_alphafold3_7ELQ_3.pdb,1.809,0.0,0.867,0.875,0.707,0.881,2.086,13.86,0.492,0.052,0.191,0.51,1.366,0.0,0.483,0.2,0.356,0.444,0.933,0.856
normalized_trrosettarna_7ELQ_3.pdb,2.192,0.0,0.687,0.667,0.408,0.743,3.19,25.91,0.558,0.05,0.193,1.384,0.867,0.0,0.489,0.2,0.356,0.444,0.956,0.695
normalized_trrosettarna_7ELQ_1.pdb,2.207,0.0,0.737,0.829,0.25,0.761,2.994,25.71,0.583,0.049,0.18,1.063,1.077,0.0,0.478,0.178,0.356,0.422,0.956,0.714
normalized_trrosettarna_7ELQ_2.pdb,2.252,0.0,0.624,0.791,0.189,0.639,3.611,29.5,0.592,0.051,0.192,1.217,0.89,0.0,0.483,0.178,0.356,0.444,0.956,0.695
normalized_simrna_7ELQ.pdb,4.876,3.8036240823657863e-13,0.723,0.688,0.0,0.789,6.747,19.91,0.288,0.049,0.495,1.61,1.277,0.0,0.333,0.178,0.222,0.289,0.644,0.011
normalized_mcsym_7ELQ_3.pdb,6.253,7.611811181362782e-11,0.571,0.528,0.289,0.619,10.959,32.15,0.3,0.043,0.654,1.67,0.884,0.0,0.389,0.156,0.244,0.422,0.733,0.001
normalized_rnajp_7ELQ.pdb,6.554,2.248917163605313e-10,0.731,0.775,0.289,0.755,8.97,23.75,0.287,0.052,0.662,1.426,1.244,0.0,0.306,0.156,0.244,0.311,0.511,0.028
