,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_alphafold3_6N5P_4.pdb,2.032,0.0,0.912,0.974,0.9,0.888,2.228,12.73,0.913,0.04,0.179,0.675,3.379,0.0,0.381,0.095,0.143,0.294,0.992,0.896
normalized_alphafold3_6N5P_2.pdb,2.034,0.0,0.916,0.974,0.9,0.894,2.22,12.93,0.913,0.04,0.177,0.68,3.356,0.0,0.377,0.087,0.143,0.294,0.984,0.883
normalized_alphafold3_6N5P_5.pdb,2.089,0.0,0.909,0.974,0.858,0.888,2.299,12.91,0.908,0.04,0.186,0.669,3.364,0.0,0.373,0.087,0.135,0.294,0.976,0.883
normalized_alphafold3_6N5P_3.pdb,2.163,0.0,0.912,0.974,0.9,0.888,2.371,12.71,0.896,0.04,0.198,0.681,3.382,0.0,0.377,0.079,0.143,0.309,0.976,0.892
normalized_alphafold3_6N5P_1.pdb,2.185,0.0,0.915,0.974,0.9,0.892,2.388,12.69,0.888,0.041,0.199,0.682,3.361,0.0,0.377,0.087,0.143,0.302,0.976,0.894
normalized_trrosettarna_6N5P_1.pdb,3.259,0.0,0.521,0.691,0.2,0.496,6.251,35.38,0.833,0.04,0.312,1.434,2.097,0.0,0.355,0.071,0.135,0.286,0.929,0.641
normalized_trrosettarna_6N5P_4.pdb,3.336,0.0,0.442,0.645,0.0,0.441,7.546,35.87,0.838,0.041,0.3,1.584,1.864,0.0,0.357,0.056,0.135,0.294,0.944,0.618
normalized_trrosettarna_6N5P_2.pdb,3.394,0.0,0.576,0.74,0.0,0.571,5.894,36.21,0.845,0.042,0.306,1.401,2.029,0.0,0.365,0.071,0.143,0.302,0.944,0.628
normalized_trrosettarna_6N5P_3.pdb,3.409,0.0,0.561,0.726,0.1,0.552,6.079,39.27,0.835,0.042,0.321,1.443,1.974,0.0,0.359,0.071,0.127,0.302,0.936,0.634
normalized_rhofold_6N5P.pdb,3.875,0.0,0.623,0.719,0.191,0.641,6.221,51.38,0.707,0.036,0.358,1.342,1.636,0.0,0.316,0.056,0.127,0.278,0.802,0.554
normalized_trrosettarna_6N5P_5.pdb,21.435,3.391509295624928e-12,0.308,0.0,0.0,0.463,69.621,62.58,0.218,0.041,2.191,1.836,0.623,0.0,0.125,0.04,0.056,0.135,0.27,0.508
normalized_3drna_6N5P_2.pdb,26.165,1.1448461985807956e-05,0.46,0.514,0.0,0.486,56.861,40.49,0.191,0.036,2.695,1.879,2.027,0.0,0.091,0.048,0.071,0.095,0.151,0.313
normalized_3drna_6N5P_3.pdb,27.844,0.00048012645154266176,0.478,0.51,0.0,0.504,58.308,37.62,0.153,0.039,2.854,1.887,1.934,0.0,0.095,0.048,0.071,0.103,0.159,0.304
normalized_3drna_6N5P_5.pdb,28.235,0.0010186667013389328,0.463,0.505,0.0,0.481,60.981,37.38,0.195,0.036,2.885,1.888,2.166,0.0,0.093,0.048,0.079,0.103,0.143,0.321
normalized_vfoldpipeline_6N5P_2.pdb,28.977,0.0037676645824759047,0.524,0.5,0.0,0.569,55.298,25.85,0.195,0.033,2.952,1.802,3.042,0.0,0.113,0.056,0.071,0.119,0.206,0.363
normalized_vfoldpipeline_6N5P_1.pdb,29.111,0.004690812770410502,0.496,0.48,0.0,0.536,58.636,25.74,0.193,0.034,2.965,1.856,2.914,0.0,0.117,0.056,0.071,0.119,0.222,0.354
