,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_vfoldpipeline_5T83_3.pdb,,,0.325,0.0,0.0,0.506,,,0.278,0.009,2.032,1.867,1.263,0.0,0.149,0.067,0.101,0.18,0.247,0.267
normalized_3drna_5T83_2.pdb,,,0.321,0.046,0.0,0.464,,,0.23,0.011,1.335,2.076,0.974,0.0,0.14,0.056,0.079,0.157,0.27,0.228
normalized_simrna_5T83.pdb,,,0.398,0.0,0.0,0.6,,,0.281,0.004,1.536,1.998,1.754,0.0,0.121,0.067,0.09,0.124,0.202,0.01
normalized_mcsym_5T83_5.pdb,,,0.317,0.0,0.0,0.49,,,0.203,0.007,3.379,2.331,1.593,0.0,0.146,0.056,0.112,0.18,0.236,0.003
normalized_trrosettarna_5T83_5.pdb,,,0.222,,0.0,0.318,,,0.152,0.006,1.377,2.139,0.367,0.0,0.093,0.045,0.067,0.112,0.146,0.389
normalized_mcsym_5T83_1.pdb,,,0.367,0.0,0.0,0.547,,,0.237,0.006,3.14,2.343,1.57,0.0,0.138,0.067,0.101,0.169,0.213,0.003
normalized_mcsym_5T83_2.pdb,,,0.356,0.0,0.0,0.53,,,0.28,0.008,3.241,2.366,1.616,0.0,0.129,0.056,0.101,0.135,0.225,0.003
normalized_3drna_5T83_4.pdb,,,0.245,0.0,0.0,0.349,,,0.218,0.013,1.783,2.402,0.776,0.0,0.126,0.056,0.067,0.135,0.247,0.158
normalized_rhofold_5T83.pdb,,,0.326,0.076,0.0,0.508,,,0.199,0.005,,,1.181,0.0,0.118,0.045,0.067,0.135,0.225,0.0
normalized_3drna_5T83_1.pdb,,,0.333,0.0,0.0,0.493,,,0.253,0.012,1.18,1.819,1.134,0.0,0.126,0.056,0.09,0.135,0.225,0.349
normalized_vfoldpipeline_5T83_1.pdb,,,0.376,0.0,,0.559,,,0.278,0.012,2.217,1.755,1.335,0.0,0.152,0.079,0.09,0.18,0.258,0.322
normalized_trrosettarna_5T83_4.pdb,,,0.21,0.0,0.0,0.306,,,0.472,0.004,0.579,1.975,0.795,0.0,0.157,0.056,0.112,0.169,0.292,0.459
normalized_rnacomposer_5T83.pdb,,,0.308,0.0,0.0,0.465,,,0.23,0.006,2.381,1.825,1.185,0.0,0.124,0.056,0.09,0.124,0.225,0.365
normalized_vfold_5T83_3.pdb,,,0.379,0.0,0.0,0.57,,,0.329,0.01,2.301,1.825,1.254,0.0,0.143,0.079,0.112,0.146,0.236,0.0
normalized_vfoldpipeline_5T83_2.pdb,,,0.393,0.0,0.0,0.608,,,0.319,0.01,2.274,1.842,1.095,0.0,0.126,0.067,0.09,0.124,0.225,0.312
normalized_3drna_5T83_3.pdb,,,0.283,0.0,0.0,0.42,,,0.215,0.01,2.011,1.932,1.1,0.0,0.107,0.056,0.09,0.124,0.157,0.29
normalized_3drna_5T83_5.pdb,,,0.321,0.0,,0.463,,,0.247,0.015,1.616,2.03,1.216,0.0,0.124,0.056,0.09,0.135,0.213,0.278
normalized_rnajp_5T83.pdb,,,0.42,0.0,,0.603,,,0.302,0.012,1.815,1.734,1.714,0.0,0.138,0.079,0.09,0.135,0.247,0.006
normalized_vfold_5T83_1.pdb,,,0.291,0.0,0.0,0.462,,,0.304,0.006,2.019,1.842,1.222,0.0,0.157,0.067,0.124,0.191,0.247,0.0
normalized_mcsym_5T83_4.pdb,,,0.29,0.0,0.0,0.445,,,0.261,0.008,2.917,2.357,1.645,0.0,0.126,0.056,0.101,0.146,0.202,0.003
normalized_vfold_5T83_4.pdb,,,0.317,0.0,0.0,0.51,,,0.299,0.009,2.466,1.847,1.167,0.0,0.129,0.067,0.09,0.135,0.225,0.005
normalized_trrosettarna_5T83_3.pdb,,,0.267,0.0,0.0,0.392,,,0.474,0.004,0.581,1.836,0.901,0.0,0.16,0.067,0.101,0.18,0.292,0.442
normalized_trrosettarna_5T83_1.pdb,,,0.255,0.0,0.105,0.357,,,0.482,0.005,0.565,1.834,1.038,0.0,0.152,0.056,0.101,0.18,0.27,0.464
normalized_vfold_5T83_5.pdb,,,0.36,0.0,0.0,0.554,,,0.317,0.007,1.48,1.995,1.158,0.0,0.171,0.067,0.112,0.213,0.292,0.001
normalized_mcsym_5T83_3.pdb,,,0.349,0.0,0.0,0.518,,,0.296,0.007,3.359,2.401,1.91,0.0,0.132,0.067,0.09,0.146,0.225,0.009
normalized_vfold_5T83_2.pdb,,,0.312,0.0,0.0,0.493,,,0.286,0.005,2.205,1.822,1.224,0.0,0.143,0.067,0.112,0.146,0.247,0.001
normalized_isrna_5T83.pdb,,,0.407,0.0,0.0,0.59,,,0.265,0.004,1.765,1.855,1.759,0.0,0.138,0.079,0.124,0.135,0.213,0.358
normalized_trrosettarna_5T83_2.pdb,,,0.262,0.052,0.0,0.371,,,0.474,0.005,0.577,1.828,1.035,0.0,0.16,0.067,0.112,0.18,0.281,0.471
normalized_alphafold3_5T83_1.pdb,,,0.397,0.0,0.0,0.575,,,0.86,0.005,0.191,0.668,1.899,0.0,0.149,0.067,0.09,0.169,0.27,0.865
