,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_4PQV_2.pdb,3.37,0.0,0.525,0.758,0.0,0.476,6.416,34.08,0.587,0.763,0.305,1.512,1.069,0.0,0.676,0.221,0.574,0.912,1.0,0.61
normalized_trrosettarna_4PQV_3.pdb,4.044,0.0,0.574,0.726,0.0,0.557,7.048,38.27,0.589,0.741,0.318,1.519,1.08,0.0,0.669,0.191,0.544,0.941,1.0,0.576
normalized_trrosettarna_4PQV_4.pdb,8.204,0.0,0.483,0.621,0.0,0.506,16.985,38.35,0.537,0.733,0.824,1.606,0.758,0.0,0.588,0.206,0.559,0.75,0.838,0.571
normalized_trrosettarna_4PQV_5.pdb,8.242,0.0,0.467,0.655,0.0,0.452,17.634,41.09,0.517,0.687,0.821,1.712,0.776,0.0,0.588,0.191,0.559,0.75,0.853,0.536
normalized_alphafold3_4PQV_1.pdb,11.389,1.2554512984763733e-11,0.831,0.917,0.408,0.816,13.708,17.06,0.438,0.801,1.198,1.213,2.198,0.0,0.518,0.221,0.412,0.691,0.75,0.665
normalized_trrosettarna_4PQV_1.pdb,15.329,3.666644515731843e-06,0.267,0.154,0.0,0.363,57.421,62.59,0.168,0.729,1.597,1.917,0.412,0.0,0.257,0.073,0.162,0.338,0.456,0.503
normalized_mcsym_4PQV_4.pdb,17.59,0.0006236918167135674,0.397,0.238,0.236,0.481,44.26,38.02,0.227,0.58,1.784,2.144,1.728,0.0,0.246,0.132,0.221,0.294,0.338,0.011
normalized_mcsym_4PQV_5.pdb,18.131,0.0017086529811347062,0.433,0.238,0.289,0.527,41.893,42.53,0.197,0.576,1.877,2.112,1.72,0.0,0.202,0.176,0.191,0.206,0.235,0.002
normalized_mcsym_4PQV_1.pdb,18.23,0.0020361958858549634,0.382,0.238,0.0,0.476,47.77,40.09,0.178,0.571,1.828,2.204,1.787,0.0,0.224,0.162,0.191,0.25,0.294,0.004
normalized_mcsym_4PQV_3.pdb,18.231,0.0020397331908443284,0.459,0.223,0.289,0.571,39.746,38.67,0.25,0.583,1.867,2.123,1.868,0.0,0.254,0.147,0.221,0.294,0.353,0.005
normalized_mcsym_4PQV_2.pdb,18.369,0.002594877633256887,0.447,0.228,0.0,0.569,41.057,37.68,0.224,0.603,1.868,2.126,1.816,0.0,0.254,0.162,0.206,0.279,0.368,0.001
normalized_rhofold_4PQV.pdb,18.454,0.002999424482178381,0.519,0.154,0.289,0.636,35.555,66.5,0.238,0.577,1.892,1.984,1.096,0.0,0.257,0.118,0.206,0.309,0.397,0.0
normalized_3drna_4PQV_2.pdb,19.502,0.0151605937743296,0.334,0.252,0.0,0.389,58.369,39.96,0.146,0.542,1.998,2.092,0.872,0.0,0.188,0.103,0.162,0.221,0.265,0.215
normalized_vfold_4PQV_3.pdb,19.77,0.021866079766659607,0.407,0.292,0.0,0.481,48.576,29.9,0.208,0.577,2.069,2.017,1.024,0.0,0.232,0.118,0.221,0.279,0.309,0.004
normalized_rnacomposer_4PQV.pdb,20.522,0.05489179758142637,0.419,0.273,0.577,0.472,48.979,32.18,0.237,0.567,2.166,2.083,1.251,0.0,0.21,0.103,0.176,0.25,0.309,0.32
normalized_3drna_4PQV_4.pdb,21.115,0.1021767855241828,0.386,0.292,0.0,0.451,54.638,41.25,0.181,0.564,2.128,2.013,1.158,0.0,0.213,0.132,0.206,0.235,0.279,0.271
