,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,TM-score,CAD,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,CLASH,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,lDDT
normalized_trrosettarna_1YFG_1.pdb,4.162,0.0,0.663,0.829,0.0,0.618,6.274,39.61,0.516,0.133,0.411,1.234,1.255,0.0,0.141,0.109,0.109,0.141,0.203,0.632
normalized_trrosettarna_1YFG_2.pdb,4.189,0.0,0.508,0.761,0.0,0.457,8.253,38.42,0.514,0.133,0.42,1.466,0.977,0.0,0.141,0.109,0.125,0.141,0.188,0.611
normalized_trrosettarna_1YFG_3.pdb,7.747,1.1102230246251565e-16,0.554,0.761,0.0,0.516,13.994,44.82,0.336,0.125,0.828,1.484,0.904,0.0,0.137,0.109,0.125,0.125,0.188,0.539
normalized_trrosettarna_1YFG_4.pdb,10.433,9.63323865121879e-12,0.429,0.324,0.0,0.523,24.293,55.2,0.261,0.129,1.141,1.742,0.466,0.0,0.137,0.094,0.125,0.141,0.188,0.497
normalized_trrosettarna_1YFG_5.pdb,11.072,1.0316691945178036e-10,0.338,,0.0,0.47,32.752,57.67,0.194,0.132,1.233,1.81,0.266,0.0,0.113,0.062,0.078,0.141,0.172,0.487
normalized_3drna_1YFG_1.pdb,11.871,1.684853423444821e-09,0.518,0.668,,0.464,22.926,39.98,0.269,0.114,1.197,1.851,1.263,0.0,0.129,0.078,0.109,0.141,0.188,0.434
normalized_rhofold_1YFG.pdb,14.816,9.499026975223757e-06,0.613,0.601,0.0,0.652,24.188,55.8,0.259,0.128,1.534,1.641,1.091,0.0,0.137,0.109,0.125,0.125,0.188,0.447
normalized_mcsym_1YFG_4.pdb,15.037,1.6347260489768534e-05,0.403,0.328,,0.45,37.277,39.4,0.32,0.117,1.552,2.112,1.735,0.0,0.141,0.094,0.109,0.141,0.219,0.054
normalized_rnacomposer_1YFG.pdb,15.17,2.2506255107856976e-05,0.58,0.684,0.0,0.556,26.141,30.95,0.23,0.112,1.534,1.678,1.242,0.0,0.121,0.078,0.094,0.125,0.188,0.468
normalized_mcsym_1YFG_1.pdb,15.757,8.71045982723806e-05,0.43,0.335,0.0,0.491,36.631,40.42,0.289,0.12,1.663,2.075,1.701,0.0,0.125,0.094,0.109,0.125,0.172,0.004
normalized_mcsym_1YFG_2.pdb,15.916,0.00012331946819987838,0.46,0.335,,0.528,34.608,39.95,0.28,0.121,1.691,2.065,1.769,0.0,0.121,0.078,0.109,0.125,0.172,0.019
normalized_mcsym_1YFG_3.pdb,15.988,0.00014431901842815176,0.417,0.328,0.0,0.473,38.372,42.5,0.307,0.119,1.662,2.094,1.804,0.0,0.148,0.109,0.109,0.156,0.219,0.011
normalized_simrna_1YFG.pdb,16.354,0.00031062995293185125,0.658,0.651,0.0,0.697,24.841,33.39,0.249,0.133,1.775,1.794,1.614,0.0,0.148,0.109,0.109,0.141,0.234,0.016
normalized_rnajp_1YFG.pdb,16.494,0.0004126882562137113,0.577,0.651,,0.561,28.606,33.07,0.269,0.128,1.692,1.679,1.778,0.0,0.144,0.109,0.109,0.156,0.203,0.077
normalized_vfold_1YFG_4.pdb,16.753,0.0006857755274246591,0.556,0.651,0.0,0.544,30.151,35.56,0.284,0.13,1.728,1.758,1.231,0.0,0.133,0.109,0.109,0.125,0.188,0.008
normalized_mcsym_1YFG_5.pdb,17.018,0.0011316689787522205,0.433,0.35,,0.479,39.278,43.61,0.285,0.119,1.785,2.083,1.727,0.0,0.133,0.109,0.109,0.125,0.188,0.002
normalized_3drna_1YFG_4.pdb,17.292,0.0018592521280170193,0.512,0.668,0.0,0.476,33.763,42.41,0.253,0.122,1.853,1.834,1.315,0.0,0.137,0.078,0.125,0.141,0.203,0.44
